datahora;nome_drs;pacientes_uti_mm7d;total_covid_uti_mm7d;ocupacao_leitos;pop;leitos_pc;internacoes_7d;internacoes_7d_l;internacoes_7v7
10/02/2021;DRS 06 Bauru;253,43;274,57;92,3;1741281;15,77;544;543;0,18
10/02/2021;DRS 07 Campinas;545,86;759,14;71,91;4562125;16,64;699;846;-17,38
10/02/2021;DRS 08 Franca;94,14;116,14;81,06;696336;16,68;149;150;-0,67
10/02/2021;DRS 09 Marília;144,43;200,29;72,11;1109670;18,05;301;306;-1,63
10/02/2021;DRS 10 Piracicaba;197,57;304,71;64,84;1539600;19,79;453;406;11,58
10/02/2021;DRS 11 Presidente Prudente;70,57;102,57;68,8;752260;13,63;189;181;4,42
10/02/2021;DRS 12 Registro;23,86;49;48,69;278754;17,58;60;43;39,53
10/02/2021;DRS 13 Ribeirão Preto;203,29;271,86;74,78;1477530;18,4;411;421;-2,38
10/02/2021;DRS 14 São João da Boa Vista;75,29;131;57,47;809836;16,18;217;169;28,4
10/02/2021;DRS 15 São José do Rio Preto;249,43;400,43;62,29;1570421;25,5;484;472;2,54
10/02/2021;DRS 16 Sorocaba;220,29;322,29;68,35;2461760;13,09;414;483;-14,29
10/02/2021;DRS 17 Taubaté;347,14;521,71;66,54;2489629;20,96;640;780;-17,95
10/02/2021;Estado de São Paulo;5986,57;8980,57;66,66;44639899;20,12;10326;10639;-2,94
11/02/2021;DRS 01 Grande São Paulo;3121,57;4759,71;65,58;21138247;22,52;4788;5077;-5,69
11/02/2021;DRS 02 Araçatuba;65,43;124,71;52,47;764041;16,32;125;106;17,92
11/02/2021;DRS 03 Araraquara;133,57;144;92,76;991435;14,52;385;311;23,79
11/02/2021;DRS 04 Baixada Santista;173;399,43;43,31;1831884;21,8;268;214;25,23
11/02/2021;DRS 05 Barretos;66,86;94;71,13;425090;22,11;171;131;30,53
11/02/2021;DRS 06 Bauru;256;275,71;92,85;1741281;15,83;515;563;-8,53
11/02/2021;DRS 07 Campinas;544,86;761;71,6;4562125;16,68;716;802;-10,72
11/02/2021;DRS 08 Franca;94;117,43;80,05;696336;16,86;147;153;-3,92
